Date,Avg Case Closed Per CSE,Avg Case Closed Per CSA,Avg Case Closed Per TL,Avg Case Closed per Temp,Average Case Closed per CfS,Avg Case Closed per Sup,,,,,,,,,,,,,,,,,,
16 Aug (Wed),32,20,9,18,0,0,,,,,,,,,,,,,,,,,,
17 Aug (Thu),27,16,0,9,0,0,,,,,,,,,,,,,,,,,,
18 Aug (Fri),31,18,0,13,0,0,,,,,,,,,,,,,,,,,,
19 Aug (Sat),0,0,5,0,0,0,,,,,,,,,,,,,,,,,,
20 Aug (Sun),0,0,9,0,0,0,,,,,,,,,,,,,,,,,,
21 Aug (Mon),31,17,3,12,0,0,,,,,,,,,,,,,,,,,,
22 Aug (Tue),29,16,2,9,0,0,,,,,,,,,,,,,,,,,,
23 Aug (Wed),25,15,2,9,0,0,,,,,,,,,,,,,,,,,,
24 Aug (Thu),29,21,0,9,0,0,,,,,,,,,,,,,,,,,,
25 Aug (Fri),30,17,0,11,0,0,,,,,,,,,,,,,,,,,,
26 Aug (Sat),0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
27 Aug (Sun),0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
28 Aug (Mon),26,14,9,15,0,0,,,,,,,,,,,,,,,,,,
29 Aug (Tue),29,11,3,11,0,0,,,,,,,,,,,,,,,,,,
30 Aug (Wed),29,10,3,11,0,0,,,,,,,,,,,,,,,,,,
31 Aug (Thu),32,11,4,6,0,0,,,,,,,,,,,,,,,,,,
1 Sep (Fri),0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2 Sep (Sat),0,0,2,0,0,0,,,,,,,,,,,,,,,,,,
